DISTRICT,VTD,POP
2,823,276.0
9,816,1857.0
9,817,383.0
9,847,884.0
9,815,41878.0
9,1010,233.0
9,846,17833.0
9,845,10679.0
9,844,12214.0
9,819,13395.0
9,822,10617.0
9,840,2718.0
9,848,1932.0
9,927,3446.0
9,841,14939.0
9,818,42651.0
9,820,284.0
9,821,949.0
2,602,1412.0
2,777,336.0
2,700,586.0
2,1125,3103.0
2,701,27.0
2,677,1042.0
2,678,1659.0
2,708,1362.0
2,794,563.0
2,773,97.0
2,676,2700.0
2,757,479.0
2,743,2230.0
2,1142,1680.0
2,706,948.0
2,496,1461.0
2,1381,419.0
2,707,530.0
2,606,688.0
2,774,984.0
2,605,989.0
2,604,964.0
2,675,1969.0
2,793,408.0
2,705,1403.0
2,1537,867.0
2,736,2125.0
2,702,6418.0
2,703,2795.0
2,489,1932.0
2,734,5723.0
2,571,470.0
2,1140,2911.0
2,735,3050.0
2,603,250.0
2,1131,13.0
2,704,2077.0
2,1444,210.0
2,771,4728.0
2,776,23.0
2,575,3300.0
2,493,2137.0
2,576,3045.0
2,775,1388.0
2,495,172.0
2,492,1992.0
2,490,1443.0
2,488,3202.0
2,573,4898.0
2,796,2816.0
2,772,1618.0
2,572,625.0
2,674,1682.0
2,792,2120.0
2,494,4197.0
2,788,2035.0
2,797,307.0
2,574,2786.0
2,1147,2404.0
2,1386,2345.0
2,491,574.0
7,1191,3594.0
7,973,2452.0
7,987,3372.0
7,1224,1526.0
7,1532,3014.0
7,1334,4347.0
7,974,3084.0
7,921,9351.0
7,852,10838.0
7,920,3825.0
7,1193,2562.0
7,1172,1955.0
7,969,3318.0
7,981,4582.0
7,1468,2803.0
7,1469,5453.0
7,930,11085.0
7,911,6340.0
7,1001,2699.0
6,1163,5228.0
6,947,8208.0
7,897,3877.0
7,1212,3512.0
7,968,6629.0
7,988,5102.0
7,980,6956.0
7,1453,2077.0
7,1454,5534.0
7,916,10829.0
7,1214,8182.0
7,1394,6876.0
7,1011,5622.0
7,1475,4039.0
7,1502,3889.0
7,888,2272.0
7,1400,738.0
6,1490,8488.0
7,1345,6020.0
6,1390,3738.0
6,1187,3516.0
6,1171,6062.0
6,1493,4925.0
6,1188,6095.0
6,1333,3078.0
6,944,4695.0
6,931,6996.0
6,909,6098.0
6,910,1820.0
6,1221,3447.0
6,1529,1941.0
7,1348,4130.0
