30083000017,30085000015
30011000003,30011000014
30041000020,30041000021
30029000017,30029NAHD15
30079000001,30079000002
30097000002,30097000004
30065000005,301110040.3
301110040.1,301110040.3
30015000002,30051000003
30081000002,30081000005
30093000004,30093000006
3006700060A,3006700060B
30023004-77,30093000028
30001000021,30023004-77
300630089CS,300630099CS
3003100063A,3003100064D
30081000015,30081000016
300630098TR,30063098CSP
3009300008E,3009300009N
30027000003,30027000014
30017000001,30017000007
30005000001,30005000013
3002304-78W,3002305-77N
300130019A3,300130019A4
30043010-75,30049000009
30095000010,30095000013
3004700STI2,3006300094E
30041000010,30041000025
30015000003,30015000007
3002305-77N,30039000002
30099000001,30099000006
30053000006,30053000010
3006700059D,30095000010
30053000003,30053000005
30029000019,30029000035
30095000001,30095000004
30023002-78,3002303-77W
30009000003,30009000015
30095000004,30095000013
30003000003,301110039.2
30021000006,30021000007
30083000009,30083000023
30073000019,3010100Sh-6
30041000001,30041000013
