BLOCK,PRECINCT
240010012001021,2400106-005
240010012001022,2400106-005
240010012001023,2400106-005
240010012001024,2400106-005
240010012001025,2400106-005
240010012001026,2400106-005
240010012001027,2400106-005
240010012001028,2400106-003
240010012001029,2400106-003
240010012001030,2400106-003
240010012001031,2400106-003
240010012001032,2400106-003
240010012001033,2400106-003
240010012001034,2400106-005
240010012001035,2400106-005
240010012001036,2400106-006
240010012001037,2400106-006
240010012001038,2400106-003
240010012001039,2400106-003
240010012001040,2400106-003
240010012001041,2400106-003
240010012002000,2400106-099
240010012002001,2400129-001
240010012002002,2400129-001
240010012002003,2400106-005
240010012002004,2400129-003
240010012002005,2400129-001
240010012002006,2400129-003
240010012002007,2400129-003
240010012002008,2400129-003
240010012002009,2400106-005
240010012002010,2400106-006
240010012002011,2400106-005
240010012002012,2400106-005
240010012002013,2400106-005
240010012002014,2400106-005
240010012002015,2400106-005
240010012002016,2400106-001
240010012002017,2400106-001
240010012002018,2400106-001
240010012002019,2400106-001
240010012002020,2400106-001
240010012002021,2400106-001
240010012002022,2400106-001
240010012002023,2400106-001
240010012002024,2400106-001
240010012002025,2400106-001
240010012002026,2400106-001
240010012002027,2400106-001
240010012002028,2400106-001
240010012002029,2400106-099
240010012002030,2400106-005
240010012002031,2400106-005
240010012002032,2400106-005
240010012002033,2400106-005
240010012002034,2400106-005
240010012002035,2400106-005
240010012002036,2400106-005
240010012002037,2400106-005
240010012002038,2400106-005
240010012002039,2400106-005
240010012002040,2400106-006
240010012002041,2400106-006
240010012002042,2400106-006
240010012002043,2400106-005
240010012002044,2400106-005
240010012002045,2400106-001
240010012002046,2400106-005
240010012002047,2400106-005
240010012002048,2400106-001
240010012002049,2400106-001
240010012002050,2400106-001
240010013001000,2400106-005
240010013001001,2400106-005
240010013001002,2400106-005
240010013001003,2400106-005
240010013001004,2400106-005
240010013001005,2400106-006
240010013001006,2400106-006
240010013001007,2400106-006
240010013001008,2400106-006
240010013001009,2400106-006
240010013001010,2400106-006
240010013001011,2400106-006
